timestamp,open_price,high_price,low_price,closing_price,volume
2025-05-02T04:00:00,486.54,490.91,484.83,488.83,39218082.0
2025-05-01T04:00:00,483.41,487.18,480.74,481.68,43316539.0
2025-04-30T04:00:00,467.13,477.2,462.43,475.47,46810610.0
2025-04-29T04:00:00,470.17,476.4243,469.59,475.53,30613120.0
2025-04-28T04:00:00,473.03,474.808,466.03,472.41,33550778.0
2025-04-25T04:00:00,466.97,473.09,465.39,472.56,38697063.0
2025-04-24T04:00:00,456.48,467.66,455.83,467.35,45956136.0
2025-04-23T04:00:00,458.17,463.38,452.88,454.56,55801136.0
2025-04-22T04:00:00,438.82,447.58,437.62,444.48,52304388.0
2025-04-21T04:00:00,438.23,439.08,427.93,433.11,44149313.0
2025-04-17T04:00:00,447.17,447.75,441.36,444.1,44837047.0
2025-04-16T04:00:00,449.03,452.62,437.76,444.18,48980552.0
2025-04-15T04:00:00,458.54,462.38,456.15,457.99,35404210.0
2025-04-14T04:00:00,464.46,465.05,452.63,457.48,43941179.0
2025-04-11T04:00:00,444.65,455.79,441.33,454.4,52483779.0
2025-04-10T04:00:00,453.56,455.59,432.63,446.18,108384092.0
2025-04-09T04:00:00,415.57,467.83,415.43,466.0,142876878.0
2025-04-08T04:00:00,438.16,443.1384,409.79,416.06,101248060.0
2025-04-07T04:00:00,408.66,443.14,402.39,423.69,161556970.0
2025-04-04T04:00:00,438.14,440.37,422.67,422.67,117088441.0
2025-04-03T04:00:00,456.44,460.07,450.14,450.66,70456338.0
2025-04-02T04:00:00,466.12,479.56,465.86,476.15,49894489.0
2025-04-01T04:00:00,467.3,473.63,464.42,472.7,41156226.0
2025-03-31T04:00:00,461.92,469.86,457.33,468.92,53000303.0
2025-03-28T04:00:00,479.81,480.52,468.05,468.94,46363797.0
2025-03-27T04:00:00,482.41,486.5799,480.25,481.62,33469817.0
2025-03-26T04:00:00,492.3,493.16,482.82,484.38,35043357.0
2025-03-25T04:00:00,491.39,493.62,490.42,493.46,26035241.0
2025-03-24T04:00:00,487.74,491.51,484.4,490.66,34567186.0
2025-03-21T04:00:00,474.08,481.61,472.905,480.84,42234874.0
2025-03-20T04:00:00,476.88,484.55,476.18,479.26,36780549.0
2025-03-19T04:00:00,476.81,485.33,474.87,480.89,40430334.0
2025-03-18T04:00:00,479.41,479.61,472.41,474.54,39072265.0
2025-03-17T04:00:00,479.61,485.84,477.8,482.77,41744354.0
2025-03-14T04:00:00,473.73,480.56,473.12,479.66,43563010.0
2025-03-13T04:00:00,476.25,476.2801,466.43,468.34,46563349.0
2025-03-12T04:00:00,479.16,481.06,471.79,476.92,46971082.0
2025-03-11T04:00:00,472.35,478.805,467.01,471.6,68760771.0
2025-03-10T04:00:00,483.45,483.97,468.66,472.73,76668029.0
2025-03-07T05:00:00,487.16,493.28,480.53,491.79,54714726.0
2025-03-06T05:00:00,493.69,498.58,486.2,488.2,57574332.0
2025-03-05T05:00:00,496.2,503.63,491.26,502.01,46323725.0
2025-03-04T05:00:00,494.18,503.74,487.735,495.55,67875402.0
2025-03-03T05:00:00,511.52,513.04,493.58,497.05,44587204.0
2025-02-28T05:00:00,500.13,508.78,496.93,508.17,47654043.0
2025-02-27T05:00:00,518.13,519.0699,500.05,500.27,52447966.0
2025-02-26T05:00:00,515.53,519.66,511.37,514.56,34457618.0
2025-02-25T05:00:00,519.24,519.32,509.44,513.32,48940025.0
2025-02-24T05:00:00,527.88,529.069,519.53,519.87,39268392.0
2025-02-21T05:00:00,538.38,538.4,525.71,526.08,47093750.0
2025-02-20T05:00:00,538.73,539.1,532.46,537.23,26550753.0
2025-02-19T05:00:00,538.57,540.81,536.46,539.52,19666861.0
2025-02-18T05:00:00,539.73,540.0,536.04,539.37,20565028.0
2025-02-14T05:00:00,536.005,538.84,535.67,538.15,17862572.0
2025-02-13T05:00:00,529.98,536.22,529.19,535.9,28714799.0
2025-02-12T05:00:00,522.3,529.19,521.95,528.3,25009362.0
2025-02-11T05:00:00,525.96,529.92,525.83,527.99,19325500.0
2025-02-10T05:00:00,527.22,530.3571,526.75,529.25,20852784.0
2025-02-07T05:00:00,530.14,532.1,522.19,522.92,29605470.0
2025-02-06T05:00:00,527.36,529.81,525.7413,529.6,19434454.0
2025-02-05T05:00:00,521.82,527.01,520.62,526.85,21134070.0
2025-02-04T05:00:00,518.63,525.11,518.23,524.47,26046753.0
2025-02-03T05:00:00,513.47,520.8496,511.05,518.11,40580835.0
2025-01-31T05:00:00,526.92,531.5178,521.19,522.29,38845467.0
2025-01-30T05:00:00,523.71,526.095,518.21,523.05,27431302.0
2025-01-29T05:00:00,522.46,522.59,516.8988,520.83,26649011.0
2025-01-28T05:00:00,515.22,523.0,511.78,521.81,33194214.0
2025-01-27T05:00:00,511.0,517.99,510.15,514.21,60771695.0
2025-01-24T05:00:00,533.02,533.79,528.15,529.63,19878251.0
2025-01-23T05:00:00,529.04,532.76,528.45,532.64,23096588.0
2025-01-22T05:00:00,529.57,533.82,529.26,531.51,33592988.0
2025-01-21T05:00:00,524.48,525.97,520.06,524.8,23627971.0
2025-01-17T05:00:00,522.85,524.0733,513.1086,521.74,51837941.0
2025-01-16T05:00:00,518.98,519.0599,512.95,513.08,28229037.0
2025-01-15T05:00:00,513.03,517.85,511.46,516.7,34957554.0
2025-01-14T05:00:00,508.74,510.155,501.59,505.08,33737237.0
2025-01-13T05:00:00,501.2,506.02,499.7,505.56,31694210.0
2025-01-10T05:00:00,511.48,511.58,503.92,507.19,40532495.0
2025-01-08T05:00:00,515.08,516.9199,510.57,515.27,30777777.0
2025-01-07T05:00:00,525.59,525.99,513.28,515.18,36690272.0
2025-01-06T05:00:00,524.02,527.92,522.03,524.54,36109734.0
2025-01-03T05:00:00,513.35,519.6454,512.53,518.58,29059520.0
2025-01-02T05:00:00,514.3,516.64,505.71,510.23,36389783.0
2024-12-31T05:00:00,516.9,517.66,510.26,511.23,29117028.0
2024-12-30T05:00:00,515.51,519.36,511.83,515.61,34584028.0
2024-12-27T05:00:00,526.01,526.45,517.86,522.56,33839555.0
2024-12-26T05:00:00,528.32,531.24,526.31,529.6,19141494.0
2024-12-24T05:00:00,524.83,530.05,524.19,529.96,17558215.0
2024-12-23T05:00:00,519.55,523.25,516.13,522.87,29672800.0
2024-12-20T05:00:00,510.44,524.82,509.29,518.66,60529961.0
2024-12-19T05:00:00,521.19,521.7599,513.83,514.17,46441754.0
2024-12-18T05:00:00,535.15,536.8799,515.01,516.47,54703155.0
2024-12-17T05:00:00,536.36,537.48,534.13,535.8,28579070.0
2024-12-16T05:00:00,533.08,539.15,533.0,538.17,31979863.0
2024-12-13T05:00:00,530.46,533.1661,527.3001,530.53,28780405.0
2024-12-12T05:00:00,527.68,528.96,526.02,526.5,23577504.0
2024-12-11T05:00:00,525.0,530.61,524.59,529.92,32168579.0
2024-12-10T05:00:00,523.62,525.38,519.16,520.6,24350040.0
2024-12-09T05:00:00,525.55,526.35,521.22,522.38,20674405.0
2024-12-06T05:00:00,522.48,526.72,522.35,526.48,23762611.0
2024-12-05T05:00:00,523.31,524.0399,521.42,521.81,18169632.0
2024-12-04T05:00:00,520.32,523.52,519.6,523.26,26086222.0
2024-12-03T05:00:00,513.95,517.15,513.37,516.87,18597900.0
2024-12-02T05:00:00,511.01,516.26,510.62,515.29,25147165.0
2024-11-29T05:00:00,505.93,510.34,505.31,509.74,15333968.0
2024-11-27T05:00:00,508.17,508.24,501.93,505.3,24957441.0
2024-11-26T05:00:00,508.08,510.14,507.23,509.31,26557061.0
2024-11-25T05:00:00,509.9,511.4525,504.2625,506.59,26375166.0
2024-11-22T05:00:00,504.42,506.53,502.78,505.79,23826644.0
2024-11-21T05:00:00,506.24,506.96,497.56,504.98,34526738.0
2024-11-20T05:00:00,503.16,503.48,496.555,503.17,29565491.0
2024-11-19T05:00:00,497.42,503.9536,497.08,503.46,24523020.0
2024-11-18T05:00:00,498.13,502.14,496.73,500.02,27192662.0
2024-11-15T05:00:00,502.94,503.33,494.49,496.57,51461054.0
2024-11-14T05:00:00,511.91,512.79,507.77,508.69,28679519.0
2024-11-13T05:00:00,512.4,514.98,509.95,512.25,24567416.0
2024-11-12T05:00:00,513.77,514.66,509.83,512.91,25835288.0
2024-11-11T05:00:00,515.37,515.58,510.92,513.84,24167479.0
2024-11-08T05:00:00,513.035,514.9175,512.41,514.14,22924483.0
2024-11-07T05:00:00,508.4,514.33,508.34,513.54,32853120.0
2024-11-06T05:00:00,500.56,506.41,499.6,505.58,43082198.0
2024-11-05T05:00:00,487.61,492.88,487.52,492.21,24353615.0
2024-11-04T05:00:00,486.82,489.38,484.2545,486.01,23291580.0
2024-11-01T04:00:00,485.5,490.7507,485.2,487.43,33655757.0
2024-10-31T04:00:00,492.38,492.43,483.75,483.85,41245248.0
2024-10-30T04:00:00,499.39,500.35,495.89,496.38,29755960.0
2024-10-29T04:00:00,495.72,501.35,493.85,500.16,28014059.0
2024-10-28T04:00:00,498.46,498.52,495.1,495.4,20477778.0
2024-10-25T04:00:00,495.14,500.28,494.43,495.32,38762143.0
2024-10-24T04:00:00,492.11,493.0,489.44,492.32,22024930.0
2024-10-23T04:00:00,493.59,494.25,485.05,488.36,39346565.0
2024-10-22T04:00:00,492.73,497.445,491.97,495.96,26685841.0
2024-10-21T04:00:00,493.25,496.23,491.31,495.42,30336549.0
2024-10-18T04:00:00,494.06,495.57,493.3,494.47,25335030.0
2024-10-17T04:00:00,496.44,496.49,491.1901,491.25,27210658.0
